"","State","Name","Saffir_Simpson_Category","Date_Closest","Year_Closest","Date_Formed","Date_Extratropical","Date_Dissipated","Fatalities","Damage","URL_Searched","Damage_Estimate","Fatalities_Estimate","Detail_QA"
"24","Alabama","Ivan","3",2004-09-16,"2004",2004-09-02,NA,2004-09-25,"124","$26.1 billion ","https://en.wikipedia.org/wiki/Hurricane_Ivan_(2004)",26100000000,124,"Yes"
"25","Alabama","Dennis","1",2005-07-10,"2005",2005-07-04,NA,2005-07-18,"88","$3.98 billion ","https://en.wikipedia.org/wiki/Hurricane_Dennis_(2005)",3980000000,88,"Yes"
"26","Alabama","Katrina","1",2005-08-29,"2005",2005-08-23,2005-08-30,2005-08-31,"1392 total","$125 billion ","https://en.wikipedia.org/wiki/Hurricane_Katrina_(2005)",125000000000,1392,"Yes"
"27","Alabama","Michael","1",2018-10-10,"2018",2018-10-07,2018-10-11,2018-10-16,"74","$25.5 billion ","https://en.wikipedia.org/wiki/Hurricane_Michael_(2018)",25500000000,74,"Yes"
"28","Alabama","Sally","2",2020-09-16,"2020",2020-09-11,2020-09-17,2020-09-18,"4 direct 5 indirect","$7.3 billion ","https://en.wikipedia.org/wiki/Hurricane_Sally_(2020)",7300000000,9,"Yes"
"29","Alabama","Zeta","1",2020-10-29,"2020",2020-10-24,NA,2020-10-30,"9 total","$4.4 billion ","https://en.wikipedia.org/wiki/Hurricane_Zeta_(2020)",4400000000,9,"Yes"
"30","Connecticut","Unnamed","1",1858-09-16,"1858",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"31","Connecticut","Unnamed","1",1869-09-08,"1869",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"32","Connecticut","Unnamed","1",1893-08-24,"1893",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"33","Connecticut","Unnamed","1",1894-10-10,"1894",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"34","Connecticut","Unnamed","3",1938-09-21,"1938",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"35","Connecticut","Unnamed","1",1944-09-15,"1944",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"36","Connecticut","Carol","3",1954-08-31,"1954",1954-08-25,1954-08-31,1954-09-01,"72","$462 million ","https://en.wikipedia.org/wiki/Hurricane_Carol_(1954)",462000000,72,"Yes"
"37","Connecticut","Donna","1",1960-09-12,"1960",1960-08-29,1960-09-13,1960-09-14,"439","$980 million ","https://en.wikipedia.org/wiki/Hurricane_Donna_(1960)",980000000,439,"Yes"
"38","Connecticut","Gloria","1",1985-09-27,"1985",1985-09-16,1985-09-28,1985-10-04,"14","$900 million ","https://en.wikipedia.org/wiki/Hurricane_Gloria",900000000,14,"Yes"
"39","Connecticut","Bob","2",1991-08-19,"1991",1991-08-16,1991-08-20,1991-08-29,"17","$1.5 billion ","https://en.wikipedia.org/wiki/Hurricane_Bob_(1991)",1500000000,17,"Yes"
"40","Delaware","Unnamed","2",1878-10-23,"1878",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"41","Delaware","Unnamed","1",1903-09-16,"1903",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"42","Florida","Unnamed","3",1851-08-23,"1851",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"43","Florida","Unnamed","1",1852-08-26,"1852",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"44","Florida","Unnamed","1",1852-09-12,"1852",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"45","Florida","Unnamed","2",1852-10-09,"1852",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"46","Florida","Unnamed","1",1854-09-08,"1854",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"47","Florida","Unnamed","2",1856-08-31,"1856",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"48","Florida","Unnamed","1",1859-09-16,"1859",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"49","Florida","Unnamed","1",1859-10-28,"1859",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"50","Florida","Unnamed","1",1861-08-16,"1861",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"51","Florida","Unnamed","2",1865-10-23,"1865",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"52","Florida","Unnamed","1",1867-10-06,"1867",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"53","Florida","Unnamed","1",1870-10-09,"1870",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"54","Florida","Unnamed","1",1870-10-20,"1870",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"55","Florida","Unnamed","3",1871-08-16,"1871",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"56","Florida","Unnamed","2",1871-08-25,"1871",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"57","Florida","Unnamed","1",1871-09-06,"1871",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"58","Florida","Unnamed","3",1873-10-07,"1873",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"59","Florida","Unnamed","1",1873-09-19,"1873",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"60","Florida","Unnamed","1",1874-09-28,"1874",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"61","Florida","Unnamed","2",1876-10-20,"1876",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"62","Florida","Unnamed","1",1877-09-19,"1877",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"63","Florida","Unnamed","3",1877-10-03,"1877",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"64","Florida","Unnamed","2",1878-09-10,"1878",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"65","Florida","Unnamed","2",1880-08-29,"1880",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"66","Florida","Unnamed","1",1880-10-08,"1880",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"67","Florida","Unnamed","3",1882-09-10,"1882",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"68","Florida","Unnamed","1",1882-10-11,"1882",NA,NA,NA,NA,NA,NA,NA,NA,"No"
